Date,Adj Close,Close,High,Low,Open,Volume,Log_returns
2014-04-16,4086.22998046875,4086.22998046875,4086.280029296875,4038.81005859375,4066.820068359375,1863110000,0.012824699976881742
2014-04-17,4095.52001953125,4095.52001953125,4110.4599609375,4064.699951171875,4080.300048828125,1954720000,0.002270918337751235
2014-04-21,4121.5498046875,4121.5498046875,4121.5498046875,4081.909912109375,4105.3701171875,1544440000,0.006335560675813753
2014-04-22,4161.4599609375,4161.4599609375,4170.72021484375,4131.60986328125,4132.06005859375,1875930000,0.009636706037349837
2014-04-23,4126.97021484375,4126.97021484375,4161.43994140625,4125.41015625,4160.89990234375,1794760000,-0.008322431252625636
2014-04-24,4148.33984375,4148.33984375,4177.16015625,4107.52001953125,4174.60986328125,2130870000,0.005164682955914542
2014-04-25,4075.56005859375,4075.56005859375,4126.97998046875,4068.10009765625,4125.16015625,2087140000,-0.01770004161474825
2014-04-28,4074.39990234375,4074.39990234375,4111.58984375,4014.169921875,4091.81005859375,2348320000,-0.00028470232084496324
2014-04-29,4103.5400390625,4103.5400390625,4111.4501953125,4070.25,4089.510009765625,1911240000,0.007126552715623989
2014-04-30,4114.56005859375,4114.56005859375,4116.14013671875,4070.6298828125,4085.18994140625,2151400000,0.002681891436088665
2014-05-01,4127.4501953125,4127.4501953125,4149.56005859375,4105.60986328125,4121.25,2077040000,0.003127913417052071
2014-05-02,4123.89990234375,4123.89990234375,4145.06005859375,4115.89013671875,4138.6298828125,1844790000,-0.0008605363112268729
2014-05-05,4138.06005859375,4138.06005859375,4138.33984375,4086.35009765625,4099.25,1561170000,0.0034277992587405976
2014-05-06,4080.760009765625,4080.760009765625,4132.4599609375,4080.760009765625,4128.22021484375,1850610000,-0.013943845164261384
2014-05-07,4067.669921875,4067.669921875,4091.030029296875,4021.050048828125,4085.489990234375,2486030000,-0.003212913226469799
2014-05-08,4051.5,4051.5,4109.2001953125,4039.909912109375,4053.280029296875,2411940000,-0.003983151826908884
2014-05-09,4071.8701171875,4071.8701171875,4071.8701171875,4025.239990234375,4043.43994140625,1976160000,0.005015199255916785
2014-05-12,4143.85986328125,4143.85986328125,4146.5400390625,4092.090087890625,4092.840087890625,1880020000,0.017525305435062134
2014-05-13,4130.169921875,4130.169921875,4155.1298828125,4128.009765625,4144.89990234375,1923480000,-0.003309138171905144
2014-05-14,4100.6298828125,4100.6298828125,4132.330078125,4093.830078125,4122.080078125,1764430000,-0.0071779575730590815
2014-05-15,4069.2900390625,4069.2900390625,4098.25,4035.9599609375,4096.52978515625,2083030000,-0.00767204520293889
2014-05-16,4090.590087890625,4090.590087890625,4091.159912109375,4044.27001953125,4070.35009765625,1741070000,0.005220688754122963
2014-05-19,4125.81005859375,4125.81005859375,4128.47021484375,4075.699951171875,4080.330078125,1601400000,0.008573142932107612
2014-05-20,4096.89013671875,4096.89013671875,4124.85986328125,4080.610107421875,4121.10986328125,1797910000,-0.007034195686143677
2014-05-21,4131.5400390625,4131.5400390625,4133.60986328125,4103.60986328125,4105.9599609375,1703500000,0.008422045618799218
2014-05-22,4154.33984375,4154.33984375,4164.85009765625,4131.47021484375,4136.08984375,1835810000,0.005503305033027942
2014-05-23,4185.81005859375,4185.81005859375,4186.580078125,4148.2998046875,4159.77978515625,1536610000,0.0075467142850167285
2014-05-27,4237.06982421875,4237.06982421875,4237.06982421875,4204.72021484375,4206.43994140625,1812330000,0.012171703546225182
2014-05-28,4225.080078125,4225.080078125,4238.169921875,4216.89013671875,4234.9599609375,1785140000,-0.0028337371129841943
2014-05-29,4247.9501953125,4247.9501953125,4247.9501953125,4228.9599609375,4238.0400390625,1714000000,0.005398345571715016
2014-05-30,4242.6201171875,4242.6201171875,4252.080078125,4221.9501953125,4251.490234375,1903660000,-0.001255529046694768
2014-06-02,4237.2001953125,4237.2001953125,4247.9599609375,4207.60986328125,4247.9599609375,1631310000,-0.0012783107219993168
